"","Date","Duration","Distance","Pace","AverageHR","MaxHR","AvgRunCadence","AvgStrideLength","ElevationGain","ElevationLoss","Notes","Month","Week","AverageSpeed","AveragePace","DurationTime"
"1",2017-03-22,"00:40",5.58,"07:10",142,151,160,0.87,20,14,NA,"Mar","12",8.37,430s (~7.17 minutes),2400s (~40 minutes)
"2",2017-03-17,"00:40",5.29,"07:33",143,151,159,0.83,16,7,NA,"Mar","11",7.935,453s (~7.55 minutes),2400s (~40 minutes)
"3",2017-03-08,"00:40",5.16,"07:45",141,148,161,0.8,17,16,NA,"Mar","10",7.74,465s (~7.75 minutes),2400s (~40 minutes)
"4",2017-02-21,"00:30",4.29,"06:59",145,151,162,0.88,15,19,NA,"Feb","8",8.58,419s (~6.98 minutes),1800s (~30 minutes)
"5",2017-02-16,"00:30",4.4,"06:49",143,151,163,0.9,16,17,NA,"Feb","7",8.8,409s (~6.82 minutes),1800s (~30 minutes)
"6",2017-02-13,"00:30",4.3,"06:59",144,151,162,0.89,16,16,NA,"Feb","7",8.6,419s (~6.98 minutes),1800s (~30 minutes)
"7",2017-02-09,"00:30",4.41,"06:48",146,152,164,0.9,18,17,"Issue with HR","Feb","6",8.82,408s (~6.8 minutes),1800s (~30 minutes)
"8",2017-02-06,"00:20",3,"06:40",141,149,163,0.92,21,24,NA,"Feb","6",9,400s (~6.67 minutes),1200s (~20 minutes)
"9",2017-02-02,"00:30",4.06,"07:23",143,151,161,0.84,19,17,NA,"Feb","5",8.12,443s (~7.38 minutes),1800s (~30 minutes)
"10",2017-01-30,"00:20",2.68,"07:27",144,152,159,0.84,15,14,NA,"Jan","5",8.04,447s (~7.45 minutes),1200s (~20 minutes)
"11",2017-01-26,"00:20",2.72,"07:21",147,168,0,0,176,0.9,NA,"Jan","4",8.16,441s (~7.35 minutes),1200s (~20 minutes)
"12",2017-01-24,"00:20",2.73,"07:20",144,150,18,16,161,0.84,NA,"Jan","4",8.19,440s (~7.33 minutes),1200s (~20 minutes)
"13",2017-01-19,"00:20",2.68,"07:27",145,155,18,17,151,0.89,NA,"Jan","3",8.04,447s (~7.45 minutes),1200s (~20 minutes)
"14",2017-01-16,"00:13",2,"06:30",149,166,0,0,165,0.75,NA,"Jan","3",9.23076923076923,390s (~6.5 minutes),780s (~13 minutes)
"15",2017-03-24,"00:40",5.57,"07:11",143,149,162,0.86,17,16,NA,"Mar","12",8.355,431s (~7.18 minutes),2400s (~40 minutes)
